generation_id,prompt_id,generator_id,seed,image_path,runtime_ms,error_type
SAFE_CULT_05_RARE_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_05_RARE_NEAR_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_RARE_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042.png,264433.352,
SAFE_CULT_05_RARE_NEAR_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_05_RARE_NEAR_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_RARE_NEAR_LIMIT_BACK__altdiffusion-m18__s042.png,263773.766,
SAFE_CULT_05_RARE_OVER_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_05_RARE_OVER_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_RARE_OVER_LIMIT_FRONT__altdiffusion-m18__s042.png,263430.029,
SAFE_CULT_05_RARE_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_05_RARE_OVER_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_RARE_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042.png,264690.666,
SAFE_CULT_05_RARE_OVER_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_05_RARE_OVER_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_RARE_OVER_LIMIT_BACK__altdiffusion-m18__s042.png,263857.793,
SAFE_CULT_06_COMMON_SHORT_FRONT__altdiffusion-m18__s042,SAFE_CULT_06_COMMON_SHORT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_06_COMMON_SHORT_FRONT__altdiffusion-m18__s042.png,265325.726,
SAFE_CULT_06_COMMON_SHORT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_06_COMMON_SHORT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_06_COMMON_SHORT_MIDDLE__altdiffusion-m18__s042.png,263106.686,
SAFE_CULT_06_COMMON_SHORT_BACK__altdiffusion-m18__s042,SAFE_CULT_06_COMMON_SHORT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_06_COMMON_SHORT_BACK__altdiffusion-m18__s042.png,264073.318,
SAFE_CULT_06_COMMON_NEAR_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_06_COMMON_NEAR_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_06_COMMON_NEAR_LIMIT_FRONT__altdiffusion-m18__s042.png,263476.456,
SAFE_CULT_06_COMMON_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_06_COMMON_NEAR_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_06_COMMON_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042.png,268171.316,
